Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
OrangeHRM_TestSuite_Search_002,Firefox 115.0,,,31-01-2024 21:00:15,31-01-2024 21:00:51,36.112s,PASSED
,,,,,,,
Test Cases/Data Driven/TC_OrangeHRM_Search_004,Firefox 115.0,,,31-01-2024 21:00:30,31-01-2024 21:00:32,1.824s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 115.0,,,31-01-2024 21:00:31,31-01-2024 21:00:31,0.011s,PASSED
Start setup action : setupTestCase,Firefox 115.0,,,31-01-2024 21:00:31,31-01-2024 21:00:31,0.798s,PASSED
"setText(findTestObject(""Object Repository/OrangeHRMPages/OrangeHRM_Search_OR/input_Admin_oxd-input oxd-input--focus""), searchItem)",Firefox 115.0,,,31-01-2024 21:00:31,31-01-2024 21:00:32,0.495s,PASSED
"verifyElementText(findTestObject(""Object Repository/OrangeHRMPages/OrangeHRM_Search_OR/span_search""), searchItem)",Firefox 115.0,,,31-01-2024 21:00:32,31-01-2024 21:00:32,0.473s,PASSED
Start listener action : sampleAfterTestCase,Firefox 115.0,,,31-01-2024 21:00:32,31-01-2024 21:00:32,0.003s,PASSED
,,,,,,,
Test Cases/Data Driven/TC_OrangeHRM_Search_004,Firefox 115.0,,,31-01-2024 21:00:32,31-01-2024 21:00:34,1.726s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 115.0,,,31-01-2024 21:00:32,31-01-2024 21:00:32,0.003s,PASSED
Start setup action : setupTestCase,Firefox 115.0,,,31-01-2024 21:00:32,31-01-2024 21:00:33,0.539s,PASSED
"setText(findTestObject(""Object Repository/OrangeHRMPages/OrangeHRM_Search_OR/input_Admin_oxd-input oxd-input--focus""), searchItem)",Firefox 115.0,,,31-01-2024 21:00:33,31-01-2024 21:00:34,0.699s,PASSED
"verifyElementText(findTestObject(""Object Repository/OrangeHRMPages/OrangeHRM_Search_OR/span_search""), searchItem)",Firefox 115.0,,,31-01-2024 21:00:34,31-01-2024 21:00:34,0.465s,PASSED
Start listener action : sampleAfterTestCase,Firefox 115.0,,,31-01-2024 21:00:34,31-01-2024 21:00:34,0.003s,PASSED
,,,,,,,
Test Cases/Data Driven/TC_OrangeHRM_Search_004,Firefox 115.0,,,31-01-2024 21:00:34,31-01-2024 21:00:36,1.708s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 115.0,,,31-01-2024 21:00:34,31-01-2024 21:00:34,0.005s,PASSED
Start setup action : setupTestCase,Firefox 115.0,,,31-01-2024 21:00:34,31-01-2024 21:00:35,0.516s,PASSED
"setText(findTestObject(""Object Repository/OrangeHRMPages/OrangeHRM_Search_OR/input_Admin_oxd-input oxd-input--focus""), searchItem)",Firefox 115.0,,,31-01-2024 21:00:35,31-01-2024 21:00:35,0.710s,PASSED
"verifyElementText(findTestObject(""Object Repository/OrangeHRMPages/OrangeHRM_Search_OR/span_search""), searchItem)",Firefox 115.0,,,31-01-2024 21:00:35,31-01-2024 21:00:36,0.456s,PASSED
Start listener action : sampleAfterTestCase,Firefox 115.0,,,31-01-2024 21:00:36,31-01-2024 21:00:36,0.002s,PASSED
,,,,,,,
Test Cases/Data Driven/TC_OrangeHRM_Search_004,Firefox 115.0,,,31-01-2024 21:00:36,31-01-2024 21:00:37,1.651s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 115.0,,,31-01-2024 21:00:36,31-01-2024 21:00:36,0.001s,PASSED
Start setup action : setupTestCase,Firefox 115.0,,,31-01-2024 21:00:36,31-01-2024 21:00:36,0.503s,PASSED
"setText(findTestObject(""Object Repository/OrangeHRMPages/OrangeHRM_Search_OR/input_Admin_oxd-input oxd-input--focus""), searchItem)",Firefox 115.0,,,31-01-2024 21:00:36,31-01-2024 21:00:37,0.682s,PASSED
"verifyElementText(findTestObject(""Object Repository/OrangeHRMPages/OrangeHRM_Search_OR/span_search""), searchItem)",Firefox 115.0,,,31-01-2024 21:00:37,31-01-2024 21:00:37,0.452s,PASSED
Start listener action : sampleAfterTestCase,Firefox 115.0,,,31-01-2024 21:00:37,31-01-2024 21:00:37,0.000s,PASSED
,,,,,,,
Test Cases/Data Driven/TC_OrangeHRM_Search_004,Firefox 115.0,,,31-01-2024 21:00:37,31-01-2024 21:00:39,1.732s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 115.0,,,31-01-2024 21:00:37,31-01-2024 21:00:37,0.001s,PASSED
Start setup action : setupTestCase,Firefox 115.0,,,31-01-2024 21:00:37,31-01-2024 21:00:38,0.533s,PASSED
"setText(findTestObject(""Object Repository/OrangeHRMPages/OrangeHRM_Search_OR/input_Admin_oxd-input oxd-input--focus""), searchItem)",Firefox 115.0,,,31-01-2024 21:00:38,31-01-2024 21:00:39,0.706s,PASSED
"verifyElementText(findTestObject(""Object Repository/OrangeHRMPages/OrangeHRM_Search_OR/span_search""), searchItem)",Firefox 115.0,,,31-01-2024 21:00:39,31-01-2024 21:00:39,0.478s,PASSED
Start listener action : sampleAfterTestCase,Firefox 115.0,,,31-01-2024 21:00:39,31-01-2024 21:00:39,0.002s,PASSED
,,,,,,,
Test Cases/Data Driven/TC_OrangeHRM_Search_004,Firefox 115.0,,,31-01-2024 21:00:39,31-01-2024 21:00:41,1.675s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 115.0,,,31-01-2024 21:00:39,31-01-2024 21:00:39,0.001s,PASSED
