Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
OrangeHRM_TestSuite_Claim,Firefox 115.0,,,31-01-2024 21:02:26,31-01-2024 21:03:46,1m - 20.292s,PASSED
,,,,,,,
Test Cases/Data Driven/TC_OrangeHRM_Claim_007,Firefox 115.0,,,31-01-2024 21:02:41,31-01-2024 21:03:02,21.335s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 115.0,,,31-01-2024 21:02:41,31-01-2024 21:02:41,0.018s,PASSED
"click(findTestObject(""Object Repository/OrangeHRMPages/OrangeHRM_Claim_OR/a_Claim""))",Firefox 115.0,,,31-01-2024 21:02:41,31-01-2024 21:02:43,1.728s,PASSED
"click(findTestObject(""Object Repository/OrangeHRMPages/OrangeHRM_Claim_OR/a_Submit Claim""))",Firefox 115.0,,,31-01-2024 21:02:43,31-01-2024 21:02:45,1.773s,PASSED
"click(findTestObject(""Object Repository/OrangeHRMPages/OrangeHRM_Claim_OR/event_Select""))",Firefox 115.0,,,31-01-2024 21:02:45,31-01-2024 21:02:47,1.847s,PASSED
index = 1,Firefox 115.0,,,31-01-2024 21:02:47,31-01-2024 21:02:47,0.002s,PASSED
while (true),Firefox 115.0,,,31-01-2024 21:02:47,31-01-2024 21:02:48,1.090s,PASSED
"click(findTestObject(""OrangeHRMPages/OrangeHRM_Claim_OR/currency_Select""))",Firefox 115.0,,,31-01-2024 21:02:48,31-01-2024 21:02:48,0.512s,PASSED
index = 1,Firefox 115.0,,,31-01-2024 21:02:48,31-01-2024 21:02:48,0.003s,PASSED
while (true),Firefox 115.0,,,31-01-2024 21:02:48,31-01-2024 21:02:49,1.062s,PASSED
"setText(findTestObject(""Object Repository/OrangeHRMPages/OrangeHRM_Claim_OR/textarea_Remarks_oxd-textarea oxd-textarea-_237541""), remark)",Firefox 115.0,,,31-01-2024 21:02:49,31-01-2024 21:02:50,0.512s,PASSED
"click(findTestObject(""Object Repository/OrangeHRMPages/OrangeHRM_Claim_OR/button_Create""))",Firefox 115.0,,,31-01-2024 21:02:50,31-01-2024 21:02:51,0.697s,PASSED
waitForPageLoad(20),Firefox 115.0,,,31-01-2024 21:02:51,31-01-2024 21:02:51,0.070s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/OrangeHRMPages/OrangeHRM_Claim_OR/event_value""), 20)",Firefox 115.0,,,31-01-2024 21:02:51,31-01-2024 21:02:56,5.013s,PASSED
"verifyElementAttributeValue(findTestObject(""Object Repository/OrangeHRMPages/OrangeHRM_Claim_OR/event_value""), ""value"", event, 5)",Firefox 115.0,,,31-01-2024 21:02:56,31-01-2024 21:02:56,0.274s,PASSED
"verifyElementAttributeValue(findTestObject(""Object Repository/OrangeHRMPages/OrangeHRM_Claim_OR/currency_value""), ""value"", currency, 5)",Firefox 115.0,,,31-01-2024 21:02:56,31-01-2024 21:02:56,0.272s,PASSED
"verifyElementAttributeValue(findTestObject(""Object Repository/OrangeHRMPages/OrangeHRM_Claim_OR/remark_value""), ""value"", remark, 5)",Firefox 115.0,,,31-01-2024 21:02:56,31-01-2024 21:02:56,0.274s,PASSED
"verifyElementAttributeValue(findTestObject(""OrangeHRMPages/OrangeHRM_Claim_OR/status_value""), ""value"", ""Initiated"", 5)",Firefox 115.0,,,31-01-2024 21:02:56,31-01-2024 21:02:57,0.259s,PASSED
"click(findTestObject(""Object Repository/OrangeHRMPages/OrangeHRM_Claim_OR/button_Submit""))",Firefox 115.0,,,31-01-2024 21:02:57,31-01-2024 21:02:57,0.459s,PASSED
waitForPageLoad(20),Firefox 115.0,,,31-01-2024 21:02:57,31-01-2024 21:02:57,0.018s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/OrangeHRMPages/OrangeHRM_Claim_OR/status_value""), 20)",Firefox 115.0,,,31-01-2024 21:02:57,31-01-2024 21:02:58,0.657s,PASSED
delay(4),Firefox 115.0,,,31-01-2024 21:02:58,31-01-2024 21:03:02,4.014s,PASSED
"verifyElementAttributeValue(findTestObject(""OrangeHRMPages/OrangeHRM_Claim_OR/submited_staus_value""), ""value"", ""Submitted"", 5)",Firefox 115.0,,,31-01-2024 21:03:02,31-01-2024 21:03:02,0.581s,PASSED
Start listener action : sampleAfterTestCase,Firefox 115.0,,,31-01-2024 21:03:02,31-01-2024 21:03:02,0.005s,PASSED
,,,,,,,
Test Cases/Data Driven/TC_OrangeHRM_Claim_007,Firefox 115.0,,,31-01-2024 21:03:03,31-01-2024 21:03:24,21.497s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 115.0,,,31-01-2024 21:03:03,31-01-2024 21:03:03,0.002s,PASSED
"click(findTestObject(""Object Repository/OrangeHRMPages/OrangeHRM_Claim_OR/a_Claim""))",Firefox 115.0,,,31-01-2024 21:03:03,31-01-2024 21:03:04,1.595s,PASSED
"click(findTestObject(""Object Repository/OrangeHRMPages/OrangeHRM_Claim_OR/a_Submit Claim""))",Firefox 115.0,,,31-01-2024 21:03:04,31-01-2024 21:03:06,2.025s,PASSED
"click(findTestObject(""Object Repository/OrangeHRMPages/OrangeHRM_Claim_OR/event_Select""))",Firefox 115.0,,,31-01-2024 21:03:06,31-01-2024 21:03:08,2.109s,PASSED
index = 1,Firefox 115.0,,,31-01-2024 21:03:08,31-01-2024 21:03:08,0.001s,PASSED
while (true),Firefox 115.0,,,31-01-2024 21:03:08,31-01-2024 21:03:10,1.564s,PASSED
